Price,Address,City,State,Postal,Floor Size,Longitude,Latitude,URL
"$179,900",585 Fulton Rd,Kingston,GA,30145,1334,34.273857,-85.03136,https://www.zillow.com/homedetails/585-Fulton-Rd-Kingston-GA-30145/76427692_zpid/
"$519,900",149 Dream Ct,Acworth,GA,30102,2772,34.089546,-84.628365,https://www.zillow.com/homedetails/149-Dream-Ct-Acworth-GA-30102/246851725_zpid/
"$310,000",2099 Burns View Ln,Lawrenceville,GA,30044,1900,33.926716,-84.04882,https://www.zillow.com/homedetails/2099-Burns-View-Ln-Lawrenceville-GA-30044/80147283_zpid/
"$282,500",2242 Dillard Xing,Tucker,GA,30084,1582,33.846718,-84.20846,https://www.zillow.com/homedetails/2242-Dillard-Xing-Tucker-GA-30084/70835372_zpid/
"$227,900",800 Catherine St,Forest Park,GA,30297,1075,33.62869,-84.363556,https://www.zillow.com/homedetails/800-Catherine-St-Forest-Park-GA-30297/35793103_zpid/
"$244,900",29 Highland Cir SW,Cartersville,GA,30120,1200,34.098175,-84.84827,https://www.zillow.com/homedetails/29-Highland-Cir-SW-Cartersville-GA-30120/2061895810_zpid/
"$325,000",105 Hickory Ave,Fayetteville,GA,30215,1479,33.446724,-84.47633,https://www.zillow.com/homedetails/105-Hickory-Ave-Fayetteville-GA-30215/14593822_zpid/
"$795,000",563 Collier Rd NW,Atlanta,GA,30318,2601,33.811005,-84.40574,https://www.zillow.com/homedetails/563-Collier-Rd-NW-Atlanta-GA-30318/35908256_zpid/
"$375,000",338 Maplewood Ln,Acworth,GA,30101,1800,34.023945,-84.7443,https://www.zillow.com/homedetails/338-Maplewood-Ln-Acworth-GA-30101/237696571_zpid/
"$298,000",7656 Mount Zion Blvd,Jonesboro,GA,30236,1516,33.545094,-84.33785,https://www.zillow.com/homedetails/7656-Mount-Zion-Blvd-Jonesboro-GA-30236/35769833_zpid/
"$849,999",2867 Clary Hill Dr NE,Roswell,GA,30075,3532,34.02175,-84.41928,https://www.zillow.com/homedetails/2867-Clary-Hill-Dr-NE-Roswell-GA-30075/14220827_zpid/
"$170,000",433 N 5th St,Griffin,GA,30223,1260,33.25496,-84.26061,https://www.zillow.com/homedetails/433-N-5th-St-Griffin-GA-30223/69912216_zpid/
"$260,000",14 Talon Ct,Kingston,GA,30145,1738,34.266983,-85.02841,https://www.zillow.com/homedetails/14-Talon-Ct-Kingston-GA-30145/217355804_zpid/
"$299,900",121 Maplewood Dr,Temple,GA,30179,1302,33.733788,-85.018135,https://www.zillow.com/homedetails/121-Maplewood-Dr-Temple-GA-30179/69942218_zpid/
